Column,Type,Description,year,publish_time,abstract_word_count,title_word_count
ID,integer,index,2020,2020-01-01,0,0
name,text,Name of the listing,2020,2020-01-01,0,0
description,text,Detailed description of the listing,2020,2020-01-01,0,0
neighborhood_overview,text,Host's description of the neighbourhood,2020,2020-01-01,0,0
host_name,text,Name of the host. Usually just the first name(s).,2020,2020-01-01,0,0
host_since,date,The date the host/user was created. For hosts that are Airbnb guests this could be the date they registered as a guest.,2020,2020-01-01,0,0
host_location,text,The host's self reported location,2020,2020-01-01,0,0
host_about,text,Description about the host,2020,2020-01-01,0,0
host_response_time,,,2020,2020-01-01,0,0
host_response_rate,,,2020,2020-01-01,0,0
host_acceptance_rate,,That rate at which a host accepts booking requests.,2020,2020-01-01,0,0
host_is_superhost,boolean,[t=true; f=false],2020,2020-01-01,0,0
host_neighbourhood,text,,2020,2020-01-01,0,0
host_listings_count,text,The number of listings the host has (per Airbnb calculations),2020,2020-01-01,0,0
host_verifications,text,,2020,2020-01-01,0,0
host_has_profile_pic,boolean ,[t=true; f=false],2020,2020-01-01,0,0
host_identity_verified,boolean,[t=true; f=false],2020,2020-01-01,0,0
neighbourhood,text,,2020,2020-01-01,0,0
neighbourhood_cleansed,text,The neighbourhood as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.,2020,2020-01-01,0,0
latitude,numeric,Uses the World Geodetic System (WGS84) projection for latitude and longitude.,2020,2020-01-01,0,0
longitude,numeric,Uses the World Geodetic System (WGS84) projection for latitude and longitude.,2020,2020-01-01,0,0
property_type,text,Self selected property type. Hotels and Bed and Breakfasts are described as such by their hosts in this field,2020,2020-01-01,0,0
room_type,text,"[Entire home/apt|Private room|Shared room|Hotel]

All homes are grouped into the following three room types:

Entire place
Private room
Shared room
Entire place
Entire places are best if you're seeking a home away from home. With an entire place, you'll have the whole space to yourself. This usually includes a bedroom, a bathroom, a kitchen, and a separate, dedicated entrance. Hosts should note in the description if they'll be on the property or not (ex: ""Host occupies first floor of the home""), and provide further details on the listing.

Private rooms
Private rooms are great for when you prefer a little privacy, and still value a local connection. When you book a private room, you'll have your own private room for sleeping and may share some spaces with others. You might need to walk through indoor spaces that another host or guest may occupy to get to your room.

Shared rooms
Shared rooms are for when you don't mind sharing a space with others. When you book a shared room, you'll be sleeping in a space that is shared with others and share the entire space with other people. Shared rooms are popular among flexible travelers looking for new friends and budget-friendly stays.",2020,2020-01-01,0,0
